"","SCIENTIFIC_NAME","GENUS","FAMILY","ORDER","Origin_Class","Equivalent","Equivalent_source"
"464","Echimys_thomasi","Echimys","Echimyidae","Rodentia","South_America",NA,NA
"467","Ectophylla_macconnelli","Ectophylla","Phyllostomidae","Chiroptera","South_America",NA,NA
"562","Holochilus_magnus","Holochilus","Muridae","Rodentia","North_America",NA,NA
"565","Hydrochaeris_hydrochaeris","Hydrochaeris","Hydrochaeridae","Rodentia","South_America",NA,NA
"589","Lagothrix_poeppiggi","Lagothrix","Cebidae","Primates","South_America",NA,NA
"613","Leopardus_braccatus","Leopardus","Felidae","Carnivora","North_America",NA,NA
"617","Leopardus_jacobita","Leopardus","Felidae","Carnivora","North_America",NA,NA
"618","Leopardus_pajeros","Leopardus","Felidae","Carnivora","North_America",NA,NA
"663","Lophostoma_silvicola","Lophostoma","Phyllostomidae","Chiroptera","South_America",NA,NA
"665","Lycalopex_culpaeus","Lycalopex","Canidae","Carnivora","North_America",NA,NA
"666","Lycalopex_griseus","Lycalopex","Canidae","Carnivora","North_America",NA,NA
"667","Lycalopex_gymnocercus","Lycalopex","Canidae","Carnivora","North_America",NA,NA
"668","Lycalopex_sechurae","Lycalopex","Canidae","Carnivora","North_America",NA,NA
"669","Lycalopex_vetulus","Lycalopex","Canidae","Carnivora","North_America",NA,NA
"676","Makalata_armata","Makalata","Echimyidae","Rodentia","South_America",NA,NA
"678","Marmosa_canescens","Marmosa","Didelphidae","Didelphimorphia","South_America",NA,NA
"687","Marmosops_dorothea","Marmosops","Didelphidae","Didelphimorphia","South_America",NA,NA
"707","Mazama_gouazoupira","Mazama","Cervidae","Artiodactyla","North_America",NA,NA
"726","Micoureus_alstoni","Micoureus","Didelphidae","Didelphimorphia","South_America",NA,NA
"727","Micoureus_constantiae","Micoureus","Didelphidae","Didelphimorphia","South_America",NA,NA
"728","Micoureus_demerarae","Micoureus","Didelphidae","Didelphimorphia","South_America",NA,NA
"729","Micoureus_regina","Micoureus","Didelphidae","Didelphimorphia","South_America",NA,NA
"737","Micronycteris_homezi","Micronycteris","Phyllostomidae","Chiroptera","South_America",NA,NA
"798","Monodelphis_sorex","Monodelphis","Didelphidae","Didelphimorphia","South_America",NA,NA
"800","Monodelphis_unistriata","Monodelphis","Didelphidae","Didelphimorphia","South_America",NA,NA
"803","Mormoops_blainvillii","Mormoops","Mormoopidae","Chiroptera","North_America",NA,NA
"814","Mustela_vison","Mustela","Mustelidae","Carnivora","North_America",NA,NA
"854","Mysateles_gundlachi","Mysateles","Capromyidae","Rodentia","South_America",NA,NA
"855","Mysateles_melanurus","Mysateles","Capromyidae","Rodentia","South_America",NA,NA
"969","Oryzomys_albigularis","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"970","Oryzomys_alfaroi","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"971","Oryzomys_auriventer","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"972","Oryzomys_balneator","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"973","Oryzomys_bolivaris","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"974","Oryzomys_buccinatus","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"975","Oryzomys_capito","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"976","Oryzomys_chapmani","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"978","Oryzomys_devius","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"979","Oryzomys_galapagoensis","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"981","Oryzomys_hammondi","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"982","Oryzomys_intectus","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"983","Oryzomys_keaysi","Oryzomys","Muridae","Rodentia","North_America",NA,NA
"984","Oryzomys_kelloggi","Oryzomys","Muridae","Rodentia","North_America",NA,NA
