ECOREGION_CODE,ECO_NAME,REALM,BIOME,G200_REGIO,New_Biome,New_Biome_2
NT0212,Chiquitano dry forests,NT,2,Chiquitano Dry Forests,SA_TrF,SA_TrF
NT0115,Choco-Darien moist forests,NT,1,Choco-Darien Moist Forests,NA_TrF,NA_TrF
NT0705,Clipperton Island shrub and grasslands,NT,7, ,N.A.,N.A.
NT0116,Cocos Island moist forests,NT,1, ,N.A.,N.A.
NA1304,Colorado Plateau shrublands,NA,13, ,NA_TeG,NA_TeG
NA0511,Colorado Rockies forests,NA,5, ,NA_TeF,NA_TeF
NA0603,Cook Inlet taiga,NA,6, ,NA_TeF,NA_TeF
NA0604,Copper Plateau taiga,NA,6, ,NA_TeF,NA_TeF
NT1004,Cordillera Central paramo,NT,10,Northern Andean Paramo,SA_TeG,SA_TeG
NT1005,Cordillera de Merida paramo,NT,10,Northern Andean Paramo,SA_TeG,SA_TeG
NT0117,Cordillera La Costa montane forests,NT,1,Coastal Venezuela Montane Forests,AH,AH
NT0118,Cordillera Oriental montane forests,NT,1,Northern Andean Montane Forests,AH,AH
NT0119,Costa Rican seasonal moist forests,NT,1, ,NA_TrF,NA_TrF
NT1306,Cuban cactus scrub,NT,13, ,N.A.,N.A.
NT0213,Cuban dry forests,NT,2, ,N.A.,N.A.
NT0120,Cuban moist forests,NT,1,Greater Antillean Moist Forests,N.A.,N.A.
NT0304,Cuban pine forests,NT,3,Greater Antillean Pine Forests,N.A.,N.A.
NT0902,Cuban wetlands,NT,9, ,N.A.,N.A.
NA1109,Davis Highlands tundra,NA,11, ,NA_TeG,NA_TeG
NT0210,Dry Chaco,NT,7, ,SA_TeG,SA_TeG
NA0405,East Central Texas forests,NA,4, ,NA_TeF,NA_TeF
NA0605,Eastern Canadian forests,NA,6, ,NA_TeF,NA_TeF
NA0606,Eastern Canadian Shield taiga,NA,6,Canadian boreal taiga,NA_TeF,NA_TeF
NA0512,Eastern Cascades forests,NA,5, ,NA_TeF,NA_TeF
NT0121,Eastern Cordillera real montane forests,NT,1,Northern Andean Montane Forests,AH,AH
NA0406,Eastern forest-boreal transition,NA,4, ,NA_TeF,NA_TeF
NA0407,Eastern Great Lakes lowland forests,NA,4, ,NA_TeF,NA_TeF
NT0122,Eastern Panamanian montane forests,NT,1,Choco-Darien Moist Forests,NA_TrF,NA_TrF
NT0214,Ecuadorian dry forests,NT,2,Tumbesian-Andean Valleys Dry Forests,SA_TrF,SA_TrF
NA0806,Edwards Plateau savanna,NA,8, ,NA_TeG,NA_TeG
