,SCIENTIFIC_NAME,GENUS,FAMILY,ORDER,Origin_Class,Equivalent,Equivalent_source
416,Dicrostonyx_exsul,Dicrostonyx,Muridae,Rodentia,North_America,Dicrostonyx_nelsoni,ASM
419,Dicrostonyx_kilangmiutak,Dicrostonyx,Muridae,Rodentia,North_America,Dicrostonyx_groenlandicus,ASM
431,Diplomys_rufodorsalis,Diplomys,Echimyidae,Rodentia,South_America,Santamartamys_rufodorsalis,VertLife
453,Echimys_blainvillei,Echimys,Echimyidae,Rodentia,South_America,Phyllomys_blainvillii,VertLife
454,Echimys_braziliensis,Echimys,Echimyidae,Rodentia,South_America,Phyllomys_brasiliensis,VertLife
456,Echimys_dasythrix,Echimys,Echimyidae,Rodentia,South_America,Phyllomys_dasythrix,VertLife
457,Echimys_grandis,Echimys,Echimyidae,Rodentia,South_America,Toromys_grandis,VertLife
458,Echimys_lamarum,Echimys,Echimyidae,Rodentia,South_America,Phyllomys_lamarum,VertLife
459,Echimys_macrurus,Echimys,Echimyidae,Rodentia,South_America,Makalata_macrura,VertLife
460,Echimys_pictus,Echimys,Echimyidae,Rodentia,South_America,Callistomys_pictus,VertLife
461,Echimys_rhipidurus,Echimys,Echimyidae,Rodentia,South_America,Toromys_rhipidurus,VertLife
463,Echimys_semivillosus,Echimys,Echimyidae,Rodentia,South_America,Pattonomys_semivillosus,VertLife
464,Echimys_thomasi,Echimys,Echimyidae,Rodentia,South_America,Phyllomys_thomasi,VertLife
467,Ectophylla_macconnelli,Ectophylla,Phyllostomidae,Chiroptera,South_America,Mesophylla_macconnelli,VertLife
562,Holochilus_magnus,Holochilus,Muridae,Rodentia,North_America,Lundomys_molitor,ASM
565,Hydrochaeris_hydrochaeris,Hydrochaeris,Hydrochaeridae,Rodentia,South_America,Hydrochoerus_hydrochaeris,VertLife
589,Lagothrix_poeppiggi,Lagothrix,Cebidae,Primates,South_America,Lagothrix_poeppigii,VertLife
613,Leopardus_braccatus,Leopardus,Felidae,Carnivora,North_America,NA,ASM
617,Leopardus_jacobita,Leopardus,Felidae,Carnivora,North_America,Leopardus_jacobita,VertLife
618,Leopardus_pajeros,Leopardus,Felidae,Carnivora,North_America,NA,ASM
663,Lophostoma_silvicola,Lophostoma,Phyllostomidae,Chiroptera,South_America,Lophostoma_silvicolum,VertLife
665,Lycalopex_culpaeus,Lycalopex,Canidae,Carnivora,North_America,Pseudalopex_culpaeus,VertLife
666,Lycalopex_griseus,Lycalopex,Canidae,Carnivora,North_America,Pseudalopex_griseus,VertLife
667,Lycalopex_gymnocercus,Lycalopex,Canidae,Carnivora,North_America,Pseudalopex_gymnocercus,VertLife
668,Lycalopex_sechurae,Lycalopex,Canidae,Carnivora,North_America,Pseudalopex_sechurae,VertLife
669,Lycalopex_vetulus,Lycalopex,Canidae,Carnivora,North_America,Pseudalopex_vetulus,VertLife
676,Makalata_armata,Makalata,Echimyidae,Rodentia,South_America,Makalata_didelphoides,ASM
678,Marmosa_canescens,Marmosa,Didelphidae,Didelphimorphia,South_America,Tlacuatzin_canescens,VertLife
687,Marmosops_dorothea,Marmosops,Didelphidae,Didelphimorphia,South_America,Marmosops_noctivagus,ASM
707,Mazama_gouazoupira,Mazama,Cervidae,Artiodactyla,North_America,Mazama_gouazoubira,VertLife
726,Micoureus_alstoni,Micoureus,Didelphidae,Didelphimorphia,South_America,Marmosa_alstoni,VertLife
727,Micoureus_constantiae,Micoureus,Didelphidae,Didelphimorphia,South_America,Marmosa_constantiae,VertLife
728,Micoureus_demerarae,Micoureus,Didelphidae,Didelphimorphia,South_America,Marmosa_demerarae,VertLife
729,Micoureus_regina,Micoureus,Didelphidae,Didelphimorphia,South_America,Marmosa_regina,VertLife
737,Micronycteris_homezi,Micronycteris,Phyllostomidae,Chiroptera,South_America,Micronycteris_minuta,ASM
798,Monodelphis_sorex,Monodelphis,Didelphidae,Didelphimorphia,South_America,Monodelphis_dimidiata,ASM
800,Monodelphis_unistriata,Monodelphis,Didelphidae,Didelphimorphia,South_America,Monodelphis_unistriatus,VertLife
803,Mormoops_blainvillii,Mormoops,Mormoopidae,Chiroptera,North_America,Mormoops_blainvillei,VertLife
814,Mustela_vison,Mustela,Mustelidae,Carnivora,North_America,Neovison_vison,VertLife
854,Mysateles_gundlachi,Mysateles,Capromyidae,Rodentia,South_America,Mysateles_gundlachi,VertLife
855,Mysateles_melanurus,Mysateles,Capromyidae,Rodentia,South_America,Mesocapromys_melanurus,VertLife
969,Oryzomys_albigularis,Oryzomys,Muridae,Rodentia,North_America,Nephelomys_albigularis,VertLife
970,Oryzomys_alfaroi,Oryzomys,Muridae,Rodentia,North_America,Handleyomys_alfaroi,VertLife
